Student Name, Student ID, Time In, Time Out, Tutor Name, Tutor ID, Tutor Time In, Tutor Time Out, Class, Table
Heidi Harris, 006345792, 2020-04-06 13:07:51, 2020-04-06 13:19:03, Marvin Nielsen, 003989471, 2020-04-06 12:30:50, 2020-04-06 13:53:50, CPSC 358 Assistive Technology, 10
Candice Ramos, 000225841, 2020-04-06 13:50:10, 2020-04-06 13:53:42, Marvin Nielsen, 003989471, 2020-04-06 12:30:50, 2020-04-06 13:53:50, CPSC 435 BioMedical Informatics, 10
Deborah Price, 002076984, 2020-04-06 12:56:59, 2020-04-06 13:02:42, Marvin Nielsen, 003989471, 2020-04-06 12:30:50, 2020-04-06 13:53:50, MATH 399 Individual Study, 10
Joanne Stephens, 004280715, 2020-04-06 13:32:28, 2020-04-06 13:34:25, Marvin Nielsen, 003989471, 2020-04-06 12:30:50, 2020-04-06 13:53:50, CPSC 290 Independent Internship, 10
Jeffrey West, 001093523, 2020-04-16 11:12:07, 2020-04-16 12:26:06, Marvin Nielsen, 003989471, 2020-04-16 10:00:24, 2020-04-16 13:24:24, MATH 108 The Nature of Mathematics, 10
Gabriel Brown, 009606960, 2020-04-16 12:59:19, 2020-04-16 13:13:40, Marvin Nielsen, 003989471, 2020-04-16 10:00:24, 2020-04-16 13:24:24, CPSC 340 Game Development, 10
Nicole Simpson, 002787890, 2020-04-16 10:08:13, 2020-04-16 10:38:38, Marvin Nielsen, 003989471, 2020-04-16 10:00:24, 2020-04-16 13:24:24, CPSC 246 The Unreal Game Engine, 10
Mary Anderson, 004706381, 2020-04-16 10:22:29, 2020-04-16 10:49:09, Marvin Nielsen, 003989471, 2020-04-16 10:00:24, 2020-04-16 13:24:24, CPSC 408 Database Management, 10
Jennifer Smith, 000665030, 2020-04-16 10:24:21, 2020-04-16 11:54:08, Marvin Nielsen, 003989471, 2020-04-16 10:00:24, 2020-04-16 13:24:24, CPSC 220 Scientific Computing I, 10
Morgan Ramirez, 008913193, 2020-04-16 11:56:17, 2020-04-16 12:33:47, Marvin Nielsen, 003989471, 2020-04-16 10:00:24, 2020-04-16 13:24:24, CPSC 445 High Performance Computing, 10
Desiree Roth, 001047142, 2020-04-15 16:06:35, 2020-04-15 16:23:47, Marvin Nielsen, 003989471, 2020-04-15 13:21:33, 2020-04-15 16:52:33, CPSC 453 Network Implementation and Security, 13
Jamie Green, 005124000, 2020-04-15 15:56:27, 2020-04-15 16:14:39, Marvin Nielsen, 003989471, 2020-04-15 13:21:33, 2020-04-15 16:52:33, MATH 111 Single Variable Calculus II, 13
Danielle Watson, 005590977, 2020-04-15 14:09:42, 2020-04-15 14:18:34, Marvin Nielsen, 003989471, 2020-04-15 13:21:33, 2020-04-15 16:52:33, MATH 116 Calculus Part II: Optimization and Differential Equations, 13
Dillon Nelson, 008236940, 2020-04-15 16:21:24, 2020-04-15 16:26:05, Marvin Nielsen, 003989471, 2020-04-15 13:21:33, 2020-04-15 16:52:33, CPSC 351 Computer Architecture I, 13
Joseph Hernandez, 005515900, 2020-04-15 15:39:56, 2020-04-15 16:51:00, Marvin Nielsen, 003989471, 2020-04-15 13:21:33, 2020-04-15 16:52:33, CPSC 366 Digital Logic Design II, 13
Danny Cross, 009456824, 2020-04-15 16:48:07, 2020-04-15 16:49:18, Marvin Nielsen, 003989471, 2020-04-15 13:21:33, 2020-04-15 16:52:33, MATH 440 Topology, 13
Timothy Lyons, 001877551, 2020-04-01 13:56:56, 2020-04-01 15:39:01, Sarah Parker, 008146546, 2020-04-01 13:45:46, 2020-04-01 15:57:46, CPSC 390 Artificial Intelligence, 10
Nicholas Villegas, 006045229, 2020-04-01 15:01:16, 2020-04-01 15:33:37, Sarah Parker, 008146546, 2020-04-01 13:45:46, 2020-04-01 15:57:46, CPSC 466 Integrated Circuit Design II, 10
Alan Long, 001113306, 2020-04-01 15:51:55, 2020-04-01 15:54:09, Sarah Parker, 008146546, 2020-04-01 13:45:46, 2020-04-01 15:57:46, MATH 099 Intermediate Algebra, 10
Christopher Robinson, 008477936, 2020-04-01 15:32:23, 2020-04-01 15:48:11, Sarah Parker, 008146546, 2020-04-01 13:45:46, 2020-04-01 15:57:46, CPSC 351 Computer Architecture I, 10
Caleb Boyer, 004926351, 2020-04-01 14:26:15, 2020-04-01 15:32:01, Sarah Parker, 008146546, 2020-04-01 13:45:46, 2020-04-01 15:57:46, MATH 299 Individual Study, 10
Jonathan Davidson, 000873176, 2020-04-01 14:42:20, 2020-04-01 15:46:43, Sarah Parker, 008146546, 2020-04-01 13:45:46, 2020-04-01 15:57:46, CPSC 320 Quantum Information Science, 10
Whitney Reid, 009668757, 2020-04-03 13:37:34, 2020-04-03 14:16:24, Sarah Parker, 008146546, 2020-04-03 12:04:32, 2020-04-03 14:42:32, MATH 098 Elementary Algebra, 11
Lisa Johnson, 003893055, 2020-04-03 13:45:45, 2020-04-03 14:08:00, Sarah Parker, 008146546, 2020-04-03 12:04:32, 2020-04-03 14:42:32, CPSC 290 Independent Internship, 11
Jennifer Roman, 002492694, 2020-04-03 14:39:26, 2020-04-03 14:40:29, Sarah Parker, 008146546, 2020-04-03 12:04:32, 2020-04-03 14:42:32, CPSC 230 Computer Science I, 11
Billy Smith, 001180132, 2020-04-03 12:44:39, 2020-04-03 13:39:25, Sarah Parker, 008146546, 2020-04-03 12:04:32, 2020-04-03 14:42:32, CPSC 298 Computer Science Colloquium, 11
Patrick Moreno, 007522758, 2020-04-03 13:38:27, 2020-04-03 14:41:44, Sarah Parker, 008146546, 2020-04-03 12:04:32, 2020-04-03 14:42:32, CPSC 290 Independent Internship, 11
Rebecca Harris, 000918916, 2020-04-03 12:30:25, 2020-04-03 14:06:42, Sarah Parker, 008146546, 2020-04-03 12:04:32, 2020-04-03 14:42:32, MATH 454 Numerical Analysis, 11
Joy Turner, 007699300, 2020-04-16 15:14:09, 2020-04-16 15:23:01, Sarah Parker, 008146546, 2020-04-16 13:59:39, 2020-04-16 15:48:39, CPSC 356 Android Application Development, 2
Kendra Cruz, 009451744, 2020-04-16 15:33:03, 2020-04-16 15:38:44, Sarah Parker, 008146546, 2020-04-16 13:59:39, 2020-04-16 15:48:39, MATH 460 Modern Algebra, 2
Brian Johnson, 006022345, 2020-04-16 14:03:11, 2020-04-16 14:30:43, Sarah Parker, 008146546, 2020-04-16 13:59:39, 2020-04-16 15:48:39, CPSC 231 Computer Science II, 2
Robert Carr, 006279125, 2020-04-16 14:58:09, 2020-04-16 15:32:14, Sarah Parker, 008146546, 2020-04-16 13:59:39, 2020-04-16 15:48:39, MATH 111 Single Variable Calculus II, 2
Antonio Williamson, 006701720, 2020-04-16 15:13:04, 2020-04-16 15:27:26, Sarah Parker, 008146546, 2020-04-16 13:59:39, 2020-04-16 15:48:39, MATH 361 Mathematical Statistics, 2
Daniel Brown, 005185367, 2020-04-16 14:21:21, 2020-04-16 14:28:19, Sarah Parker, 008146546, 2020-04-16 13:59:39, 2020-04-16 15:48:39, CPSC 399 Individual Study, 2
Michael Chen, 003067537, 2020-04-21 12:42:26, 2020-04-21 12:45:18, Jaclyn Mendez, 005194264, 2020-04-21 11:51:43, 2020-04-21 12:53:43, CPSC 320 Quantum Information Science, 5
Ashley Robinson, 000074089, 2020-04-21 12:19:16, 2020-04-21 12:36:15, Jaclyn Mendez, 005194264, 2020-04-21 11:51:43, 2020-04-21 12:53:43, MATH 464 Game Theory I, 5
Dustin Snow, 001886841, 2020-04-21 12:38:59, 2020-04-21 12:50:23, Jaclyn Mendez, 005194264, 2020-04-21 11:51:43, 2020-04-21 12:53:43, CPSC 380 Operating Systems, 5
Kim Navarro, 006116116, 2020-04-21 12:38:18, 2020-04-21 12:49:29, Jaclyn Mendez, 005194264, 2020-04-21 11:51:43, 2020-04-21 12:53:43, CPSC 308 Enterprise Data Management, 5
Jennifer Miller, 000766075, 2020-04-21 12:41:49, 2020-04-21 12:53:35, Jaclyn Mendez, 005194264, 2020-04-21 11:51:43, 2020-04-21 12:53:43, CPSC 244 Level Design I, 5
Alejandro Mccann, 001150552, 2020-04-21 12:26:51, 2020-04-21 12:39:43, Jaclyn Mendez, 005194264, 2020-04-21 11:51:43, 2020-04-21 12:53:43, CPSC 242 Introduction to the Game Industry, 5
David Levy, 002271754, 2020-04-07 15:15:43, 2020-04-07 16:00:31, Lori Jones, 002303104, 2020-04-07 14:28:47, 2020-04-07 18:19:47, MATH 111 Single Variable Calculus II, 8
Jack Kaiser, 005574485, 2020-04-07 17:25:57, 2020-04-07 18:13:30, Lori Jones, 002303104, 2020-04-07 14:28:47, 2020-04-07 18:19:47, CPSC 465 Integrated Circuit Design I, 8
Sonya Brock, 001894262, 2020-04-07 18:16:28, 2020-04-07 18:16:48, Lori Jones, 002303104, 2020-04-07 14:28:47, 2020-04-07 18:19:47, CPSC 355 Human Computer Interaction, 8
Robert Williams, 005833245, 2020-04-07 18:06:08, 2020-04-07 18:11:53, Lori Jones, 002303104, 2020-04-07 14:28:47, 2020-04-07 18:19:47, MATH 460 Modern Algebra, 8
Robert Pierce, 002906112, 2020-04-07 17:12:27, 2020-04-07 17:54:39, Lori Jones, 002303104, 2020-04-07 14:28:47, 2020-04-07 18:19:47, CPSC 246 The Unreal Game Engine, 8
Sean Wood, 002964513, 2020-04-07 15:08:50, 2020-04-07 16:16:39, Lori Jones, 002303104, 2020-04-07 14:28:47, 2020-04-07 18:19:47, MATH 291 Student-Faculty Research/Creative Activity, 8
Kelly Ruiz, 006065735, 2020-04-14 15:34:26, 2020-04-14 17:17:05, Lori Jones, 002303104, 2020-04-14 13:44:58, 2020-04-14 17:19:58, CPSC 356 Android Application Development, 8
Laura Griffin, 002141892, 2020-04-14 15:55:16, 2020-04-14 16:05:20, Lori Jones, 002303104, 2020-04-14 13:44:58, 2020-04-14 17:19:58, MATH 450 Real Analysis, 8
Matthew Mills, 006266237, 2020-04-14 17:00:53, 2020-04-14 17:02:37, Lori Jones, 002303104, 2020-04-14 13:44:58, 2020-04-14 17:19:58, MATH 450 Real Analysis, 8
Maria Cole, 005717340, 2020-04-14 13:59:28, 2020-04-14 14:09:16, Lori Jones, 002303104, 2020-04-14 13:44:58, 2020-04-14 17:19:58, CPSC 320 Quantum Information Science, 8
Chelsea Coleman, 007034148, 2020-04-14 14:02:18, 2020-04-14 16:33:46, Lori Jones, 002303104, 2020-04-14 13:44:58, 2020-04-14 17:19:58, MATH 199 Individual Study, 8
Crystal Smith, 007173864, 2020-04-14 16:21:28, 2020-04-14 16:46:43, Lori Jones, 002303104, 2020-04-14 13:44:58, 2020-04-14 17:19:58, MATH 210 Multivariable Calculus, 8
Caitlin Johnson, 006714543, 2020-04-24 15:56:02, 2020-04-24 16:00:05, Lori Jones, 002303104, 2020-04-24 12:48:24, 2020-04-24 16:19:24, CPSC 230 Computer Science I, 12
Pamela Gill, 004485183, 2020-04-24 14:23:34, 2020-04-24 14:54:03, Lori Jones, 002303104, 2020-04-24 12:48:24, 2020-04-24 16:19:24, CPSC 366 Digital Logic Design II, 12
Alexandra Clark, 001644829, 2020-04-24 15:02:24, 2020-04-24 16:12:14, Lori Jones, 002303104, 2020-04-24 12:48:24, 2020-04-24 16:19:24, MATH 251 Discrete Mathematics II, 12
Nathan Fuller, 001686447, 2020-04-24 12:52:45, 2020-04-24 13:25:49, Lori Jones, 002303104, 2020-04-24 12:48:24, 2020-04-24 16:19:24, CPSC 392 Introduction to Data Science, 12
Donald Barnett, 002116697, 2020-04-24 13:41:40, 2020-04-24 14:55:10, Lori Jones, 002303104, 2020-04-24 12:48:24, 2020-04-24 16:19:24, CPSC 344 Level Design II, 12
Lucas Pearson, 005763778, 2020-04-24 14:48:34, 2020-04-24 15:00:42, Lori Jones, 002303104, 2020-04-24 12:48:24, 2020-04-24 16:19:24, CPSC 458 Web Engineering, 12
Adam Williams, 007608116, 2020-04-13 14:07:27, 2020-04-13 14:47:49, Lori Jones, 002303104, 2020-04-13 13:14:50, 2020-04-13 15:27:50, CPSC 299 Individual Study, 7
Keith Garcia, 009044329, 2020-04-13 13:34:32, 2020-04-13 14:26:48, Lori Jones, 002303104, 2020-04-13 13:14:50, 2020-04-13 15:27:50, MATH 116 Calculus Part II: Optimization and Differential Equations, 7
Earl Fitzpatrick, 007562566, 2020-04-13 14:30:59, 2020-04-13 14:38:08, Lori Jones, 002303104, 2020-04-13 13:14:50, 2020-04-13 15:27:50, MATH 280 Mathematics Tutoring, 7
Michael Lucero, 002852327, 2020-04-13 14:51:41, 2020-04-13 15:08:51, Lori Jones, 002303104, 2020-04-13 13:14:50, 2020-04-13 15:27:50, MATH 315 Linear Algebra II (Advanced Linear Algebra), 7
Brenda Williams, 006763373, 2020-04-13 13:50:39, 2020-04-13 15:05:40, Lori Jones, 002303104, 2020-04-13 13:14:50, 2020-04-13 15:27:50, MATH 115 Calculus Part I: Differentiation and Integration, 7
Julia Byrd, 006031250, 2020-04-13 13:52:25, 2020-04-13 14:42:21, Lori Jones, 002303104, 2020-04-13 13:14:50, 2020-04-13 15:27:50, CPSC 308 Enterprise Data Management, 7
Bobby Williams, 007747354, 2020-04-24 12:57:58, 2020-04-24 13:13:54, Jesse Evans, 001845670, 2020-04-24 12:02:32, 2020-04-24 15:14:32, MATH 451 Complex Analysis, 11
Erin Arellano, 005040216, 2020-04-24 12:13:41, 2020-04-24 15:02:41, Jesse Evans, 001845670, 2020-04-24 12:02:32, 2020-04-24 15:14:32, CPSC 360 Computer Graphics, 11
Curtis Andrade, 006837359, 2020-04-24 12:48:15, 2020-04-24 13:31:35, Jesse Evans, 001845670, 2020-04-24 12:02:32, 2020-04-24 15:14:32, CPSC 344 Level Design II, 11
Alejandra Lee, 005587540, 2020-04-24 13:40:35, 2020-04-24 15:04:08, Jesse Evans, 001845670, 2020-04-24 12:02:32, 2020-04-24 15:14:32, CPSC 355 Human Computer Interaction, 11
Emily Fitzgerald, 001385334, 2020-04-24 13:58:54, 2020-04-24 14:57:08, Jesse Evans, 001845670, 2020-04-24 12:02:32, 2020-04-24 15:14:32, CPSC 329 Experimental Course, 11
Bradley Villa, 004864753, 2020-04-24 15:13:48, 2020-04-24 15:14:26, Jesse Evans, 001845670, 2020-04-24 12:02:32, 2020-04-24 15:14:32, MATH 108 The Nature of Mathematics, 11
Cheyenne Meyers, 001312637, 2020-03-31 12:19:11, 2020-03-31 12:49:58, Charles Murray, 007067771, 2020-03-31 10:55:27, 2020-03-31 14:23:27, MATH 350 Differential Equations, 14
David Pitts, 008602373, 2020-03-31 11:42:03, 2020-03-31 13:49:42, Charles Murray, 007067771, 2020-03-31 10:55:27, 2020-03-31 14:23:27, CPSC 290 Independent Internship, 14
Amber Harris, 005561849, 2020-03-31 11:59:22, 2020-03-31 14:19:44, Charles Murray, 007067771, 2020-03-31 10:55:27, 2020-03-31 14:23:27, CPSC 236 Visual Programming, 14
Joseph Smith, 004789784, 2020-03-31 11:02:14, 2020-03-31 11:20:25, Charles Murray, 007067771, 2020-03-31 10:55:27, 2020-03-31 14:23:27, CPSC 380 Operating Systems, 14
Nichole Osborn, 009126334, 2020-03-31 14:03:14, 2020-03-31 14:20:09, Charles Murray, 007067771, 2020-03-31 10:55:27, 2020-03-31 14:23:27, MATH 450 Real Analysis, 14
Deanna Wilson, 000886016, 2020-03-31 13:28:42, 2020-03-31 14:22:15, Charles Murray, 007067771, 2020-03-31 10:55:27, 2020-03-31 14:23:27, CPSC 499 Individual Study, 14
Emily Hall, 008433184, 2020-04-07 12:44:40, 2020-04-07 12:55:17, Charles Murray, 007067771, 2020-04-07 10:38:04, 2020-04-07 13:57:04, MATH 208 Foundations of Geometry, 1
William Richardson, 007492208, 2020-04-07 12:11:19, 2020-04-07 13:56:12, Charles Murray, 007067771, 2020-04-07 10:38:04, 2020-04-07 13:57:04, MATH 315 Linear Algebra II (Advanced Linear Algebra), 1
Derek Clark, 000262281, 2020-04-07 10:55:20, 2020-04-07 13:48:12, Charles Murray, 007067771, 2020-04-07 10:38:04, 2020-04-07 13:57:04, MATH 260 Number Theory, 1
Michael Garza, 007933236, 2020-04-07 12:31:17, 2020-04-07 13:08:32, Charles Murray, 007067771, 2020-04-07 10:38:04, 2020-04-07 13:57:04, CPSC 445 High Performance Computing, 1
Tracy Parker, 007190895, 2020-04-07 12:50:59, 2020-04-07 12:54:33, Charles Murray, 007067771, 2020-04-07 10:38:04, 2020-04-07 13:57:04, CPSC 354 Programming Languages, 1
Janet Miller, 003827785, 2020-04-07 11:04:44, 2020-04-07 11:15:38, Charles Murray, 007067771, 2020-04-07 10:38:04, 2020-04-07 13:57:04, CPSC 440 Collaborative Game Development, 1
Michelle Barnett, 006030535, 2020-04-10 12:15:56, 2020-04-10 12:20:06, Charles Murray, 007067771, 2020-04-10 11:03:45, 2020-04-10 13:40:45, MATH 303 Biostatistics, 3
Ashley Brown, 003452405, 2020-04-10 11:24:45, 2020-04-10 13:09:41, Charles Murray, 007067771, 2020-04-10 11:03:45, 2020-04-10 13:40:45, CPSC 353 Data Communications and Computer Networks, 3
Brady Perez, 002507003, 2020-04-10 12:51:48, 2020-04-10 13:30:27, Charles Murray, 007067771, 2020-04-10 11:03:45, 2020-04-10 13:40:45, MATH 203 Introduction to Statistics, 3
Shane Thomas, 005105623, 2020-04-10 12:00:12, 2020-04-10 12:29:22, Charles Murray, 007067771, 2020-04-10 11:03:45, 2020-04-10 13:40:45, CPSC 330 Digital Logic Design I, 3
Patricia Ferguson, 004256606, 2020-04-10 12:42:01, 2020-04-10 13:11:59, Charles Murray, 007067771, 2020-04-10 11:03:45, 2020-04-10 13:40:45, CPSC 244 Level Design I, 3
Aaron Taylor, 007091662, 2020-04-10 11:49:40, 2020-04-10 13:17:47, Charles Murray, 007067771, 2020-04-10 11:03:45, 2020-04-10 13:40:45, MATH 390 Introduction to Differential Geometry, 3
Julia Massey, 001532302, 2020-04-03 12:52:08, 2020-04-03 13:02:48, Charles Murray, 007067771, 2020-04-03 11:48:10, 2020-04-03 13:05:10, MATH 451 Complex Analysis, 13
Courtney Mckinney, 008216919, 2020-04-03 11:59:13, 2020-04-03 12:56:27, Charles Murray, 007067771, 2020-04-03 11:48:10, 2020-04-03 13:05:10, CPSC 231 Computer Science II, 13
Connie Preston, 009904560, 2020-04-03 12:24:49, 2020-04-03 12:27:14, Charles Murray, 007067771, 2020-04-03 11:48:10, 2020-04-03 13:05:10, MATH 110 Single Variable Calculus I, 13
William Martin, 007154273, 2020-04-03 12:39:06, 2020-04-03 12:50:38, Charles Murray, 007067771, 2020-04-03 11:48:10, 2020-04-03 13:05:10, MATH 260 Number Theory, 13
Alyssa Roberts, 006547604, 2020-04-03 12:05:52, 2020-04-03 12:45:53, Charles Murray, 007067771, 2020-04-03 11:48:10, 2020-04-03 13:05:10, MATH 220 Scientific Computing I, 13
Stephen Griffith, 007089840, 2020-04-03 12:08:37, 2020-04-03 13:03:25, Charles Murray, 007067771, 2020-04-03 11:48:10, 2020-04-03 13:05:10, CPSC 330 Digital Logic Design I, 13
Erin Gomez, 003195398, 2020-04-08 11:12:02, 2020-04-08 13:51:42, Richard Crawford, 000404943, 2020-04-08 11:11:03, 2020-04-08 14:03:03, CPSC 466 Integrated Circuit Design II, 8
Stephanie Cox, 002509092, 2020-04-08 11:37:12, 2020-04-08 11:39:24, Richard Crawford, 000404943, 2020-04-08 11:11:03, 2020-04-08 14:03:03, CPSC 399 Individual Study, 8
Aaron Taylor, 004576962, 2020-04-08 11:27:15, 2020-04-08 12:00:46, Richard Crawford, 000404943, 2020-04-08 11:11:03, 2020-04-08 14:03:03, CPSC 348 Software Engineering, 8
Julie Lopez, 000725074, 2020-04-08 13:11:17, 2020-04-08 13:39:31, Richard Crawford, 000404943, 2020-04-08 11:11:03, 2020-04-08 14:03:03, MATH 199 Individual Study, 8
Donna Moore, 008642821, 2020-04-08 12:01:12, 2020-04-08 12:34:53, Richard Crawford, 000404943, 2020-04-08 11:11:03, 2020-04-08 14:03:03, CPSC 356 Android Application Development, 8
Larry Smith, 001889664, 2020-04-08 13:54:14, 2020-04-08 13:56:38, Richard Crawford, 000404943, 2020-04-08 11:11:03, 2020-04-08 14:03:03, MATH 460 Modern Algebra, 8
Anna Jenkins, 008296570, 2020-03-27 16:18:10, 2020-03-27 16:46:39, Richard Crawford, 000404943, 2020-03-27 14:04:51, 2020-03-27 16:55:51, CPSC 291 Student-Faculty Research/Creative Activity, 7
Crystal Burton, 009305823, 2020-03-27 16:02:33, 2020-03-27 16:03:15, Richard Crawford, 000404943, 2020-03-27 14:04:51, 2020-03-27 16:55:51, MATH 203 Introduction to Statistics, 7
Sierra House, 007039342, 2020-03-27 14:37:29, 2020-03-27 15:02:41, Richard Crawford, 000404943, 2020-03-27 14:04:51, 2020-03-27 16:55:51, CPSC 344 Level Design II, 7
Susan Martin, 001973781, 2020-03-27 14:06:22, 2020-03-27 16:13:39, Richard Crawford, 000404943, 2020-03-27 14:04:51, 2020-03-27 16:55:51, CPSC 491 Student-Faculty Research/Creative Activity, 7
Chelsea Davis, 001664465, 2020-03-27 15:25:12, 2020-03-27 16:30:55, Richard Crawford, 000404943, 2020-03-27 14:04:51, 2020-03-27 16:55:51, MATH 210 Multivariable Calculus, 7
Ryan Reid, 000704366, 2020-03-27 15:22:52, 2020-03-27 15:58:16, Richard Crawford, 000404943, 2020-03-27 14:04:51, 2020-03-27 16:55:51, MATH 454 Numerical Analysis, 7
Michael Jones, 007820195, 2020-04-15 17:00:21, 2020-04-15 17:57:18, Emily Terry, 000975929, 2020-04-15 14:59:10, 2020-04-15 18:21:10, MATH 464 Game Theory I, 2
Philip Martinez, 001870505, 2020-04-15 17:40:49, 2020-04-15 18:06:54, Emily Terry, 000975929, 2020-04-15 14:59:10, 2020-04-15 18:21:10, CPSC 330L Lab - Digital Logic Design I, 2
William Martin, 004629264, 2020-04-15 15:51:37, 2020-04-15 18:04:24, Emily Terry, 000975929, 2020-04-15 14:59:10, 2020-04-15 18:21:10, CPSC 245 Unity Programming, 2
Stephanie Cooper, 002708086, 2020-04-15 16:47:44, 2020-04-15 17:42:53, Emily Terry, 000975929, 2020-04-15 14:59:10, 2020-04-15 18:21:10, CPSC 352 Computer Architecture II, 2
Lauren Murphy, 009118243, 2020-04-15 18:00:34, 2020-04-15 18:09:01, Emily Terry, 000975929, 2020-04-15 14:59:10, 2020-04-15 18:21:10, MATH 110 Single Variable Calculus I, 2
Eric Chen, 004487278, 2020-04-15 15:12:58, 2020-04-15 18:08:38, Emily Terry, 000975929, 2020-04-15 14:59:10, 2020-04-15 18:21:10, CPSC 399 Individual Study, 2
Ashley Rogers, 005011695, 2020-04-21 12:01:04, 2020-04-21 12:13:52, Emily Terry, 000975929, 2020-04-21 10:18:17, 2020-04-21 13:42:17, MATH 211 Linear Algebra, 14
Ian Martinez, 006851250, 2020-04-21 12:05:27, 2020-04-21 13:14:38, Emily Terry, 000975929, 2020-04-21 10:18:17, 2020-04-21 13:42:17, CPSC 308 Enterprise Data Management, 14
Laura Buck, 005930604, 2020-04-21 13:23:01, 2020-04-21 13:29:40, Emily Terry, 000975929, 2020-04-21 10:18:17, 2020-04-21 13:42:17, CPSC 356 Android Application Development, 14
Michael Winters, 009251607, 2020-04-21 11:29:34, 2020-04-21 12:18:45, Emily Terry, 000975929, 2020-04-21 10:18:17, 2020-04-21 13:42:17, MATH 290 Independent Internship, 14
Shawn Baker, 004497620, 2020-04-21 11:51:40, 2020-04-21 12:03:42, Emily Terry, 000975929, 2020-04-21 10:18:17, 2020-04-21 13:42:17, MATH 291 Student-Faculty Research/Creative Activity, 14
Andrew Powell, 006151105, 2020-04-21 13:40:35, 2020-04-21 13:40:53, Emily Terry, 000975929, 2020-04-21 10:18:17, 2020-04-21 13:42:17, MATH 360 Probability Theory, 14
Danielle Sanchez, 005282222, 2020-04-14 14:34:52, 2020-04-14 14:44:31, Emily Terry, 000975929, 2020-04-14 14:02:46, 2020-04-14 15:18:46, CPSC 360 Computer Graphics, 2
John Campbell, 009507603, 2020-04-14 14:36:31, 2020-04-14 15:11:06, Emily Terry, 000975929, 2020-04-14 14:02:46, 2020-04-14 15:18:46, CPSC 390 Artificial Intelligence, 2
Michael Cunningham, 002353267, 2020-04-14 14:11:19, 2020-04-14 14:50:09, Emily Terry, 000975929, 2020-04-14 14:02:46, 2020-04-14 15:18:46, CPSC 435 BioMedical Informatics, 2
Jennifer Jackson, 006902906, 2020-04-14 15:11:05, 2020-04-14 15:12:33, Emily Terry, 000975929, 2020-04-14 14:02:46, 2020-04-14 15:18:46, CPSC 390 Artificial Intelligence, 2
Brandon Frost, 002005800, 2020-04-14 14:16:12, 2020-04-14 14:18:49, Emily Terry, 000975929, 2020-04-14 14:02:46, 2020-04-14 15:18:46, CPSC 329 Experimental Course, 2
